Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
104,369,401,95.8914,84.7,-1163.9056,-0.11670911051460298,2019-11-04,2019-12-18,44 days 00:00:00.000000000
108,536,551,81.162,71.2,-1075.8960000000004,-0.1227421699810256,2020-07-07,2020-07-28,21 days 00:00:00.000000000
